file_name,text
0001956604.jpg,"drawing in black and white of Egypt pyramids with the caption ""PYRAMID"""
0027352358.jpg,"drawing of a man with a telescope looking at stars with the title ""GALILEO"""
0030367697.jpg,"picture of a black and white owl with yellow eyes and title ""MODERN BIOLOGY"""
0030367778.jpg,"image of blue background with the title ""MODERN CHEMISTRY"""
0030367867.jpg,"image of blue chemical elements with the title ""MODERN CHEMISTRY"""
0030683726.jpg,"drawing of abstract animals with the title ""ELEMENTS OF LITERATURE"""
0030683734.jpg,"drawing of white boats by the beach with people and the title ""ELEMENTS OF LITERATURE"""
006009110X.jpg,"drawing of a vampire in a black cape in a laboratory with his hunchbacked assistant and the caption ""a drop of blood"""
0060099208.jpg,"drawing of a detective in brown clothes holding a magnifying glass in a jungle with a giraffe looming from the left side behind him and the caption ""Big Max and the mystery of the missing giraffe"""
0060256710.jpg,"drawing of a black and white image with an incomplete sphere and the title ""the missing piece"""
0060271396.jpg,"drawing of three vehicles, three red buildings, two gray rats and two trash cans around the title ""Trashy town"""
0060279028.jpg,"drawing of people, animals, and angels celebrating with the tile ""JOY TO THE WORLD"""
0060280751.jpg,"drawing of a man and his son with the caption ""MY DADDY, Dr. Martin Luther King, Jr."""
0060283246.jpg,"drawing of a black and white cat looking at cupcakes of different colors and the title ""If you give a cat a cupcake"""
0060284870.jpg,"drawing of a hen on the bank of a river and a crocodile coming out of the river under the caption ""Crocodile and hen"""
0060287934.jpg,"drawing of a giant turtle by the river with the title ""Galápagos George"""
0060291907.jpg,"drawing of a boy looking up at some paper animals with the caption ""My Chinatown"""
0060526335.jpg,"drawing of children playing with sticks and the title in red ""ROXABOXEN"""
0060560452.jpg,"drawing of a person driving a red car under the title ""My Car"""
0060560665.jpg,"drawing of a happy white rat with a pink dress and below the caption ""LILLY'S CHOCOLATE HEART"""
0060565098.jpg,"drawing of a family with a baby and a dog and the title ""The First Four Years"""
0060576154.jpg,"picture in grey of a man with hat and the title ""TIME FOR KIDS Biographies Franklin D. Roosevelt A LEADER IN TROUBLED TIMES"""
0060589450.jpg,"drawing of a clock with background of different images and the title ""THE STORY OF CLOCKS AND CALENDARS"""
0060591374.jpg,"drawing of a boy wearing a hat surrounded by red apples and the title ""JOHNNY APPLESEED"""
0060728396.jpg,"image of a boy riding a black horse with two birds and the title ""OATH BREAKER"""
0060732113.jpg,"drawing of six mice wearing clothes around the title ""A BOX OF TREATS"""
0060759046.jpg,"drawing of a yellow dog with red collar below the caption ""Biscuit"""
0060760907.jpg,"drawing of three women in an orange city with the title ""One Crazy Summer"""
0060782188.jpg,"picture of a pink flower with the title ""TIME FOR KIDS Plants!"""
0060815566.jpg,"image with a collage of persons' faces and the title ""PRESIDENTS of the United States"""
006085281X.jpg,"drawing of a raccoon eating bread with jam with the title ""THE FRANCES AUDIO COLLECTION"""
0060877138.jpg,"picture of a white shark with the title ""SHARKS"""
0060877197.jpg,"image of a human brain with the title ""THE BRAIN"""
0060928689.jpg,"drawing of a girl dancing on a cobblestone path below the caption ""Fanny at Chez Parisse"""
0061123250.jpg,"drawing of a pig drawn with black lines next to the title ""NOT A STICK"""
0061131679.jpg,"drawing of a stray cat with a yellow background and the caption ""WARRIORS FIRESTAR'S QUEST"""
0061215341.jpg,"drawing of a dog with four chickens next to the title ""THE Trouble WITH CHICKENS"""
006122779X.jpg,"drawing of a soccer player kicking the soccer ball with the title ""Pelé King of soccer El rey del fútbol"""
0061234796.jpg,"drawing of two kids with a red guitar and a school bus with the title ""Mr. Louie is screwy!"""
0061235989.jpg,"drawing of two girls next to a banquet with the caption ""Fancy Nancy Our Thanksgiving banquet"""
0061240354.jpg,"picture of a labrador dog puppy with the title ""Marley A DOG LIKE NO OTHER"""
0061255122.jpg,"picture of a wooden cabin with fireplace and the title ""THE LITTLE HOUSE GUIDEBOOK"""
0061547948.jpg,"drawing of cats of different colors with the title ""WARRIORS"""
0061688665.jpg,"drawing of cats of different colors in a yard and the title ""WARRIORS"""
0061704040.jpg,"picture of baseball players and the title ""WILLIE & ME"""
0061756903.jpg,"drawing of a boy and a girl surfing in the sea below the title ""Dude Fun with Dude and Betty"""
0061804428.jpg,"drawing of a girl holding a strike signal outside a building with the title ""BRAVE GIRL"""
0061935069.jpg,"drawing of a yellow dog reading a book with the title ""Biscuit loves the library"""
0061963739.jpg,"drawing of a boy staring at a painting of funny glasses with the title ""FUNNY BUSINESS"""
0061996572.jpg,"drawing of a dog and a cat under a Christmas tree with the caption ""CHARLIE and the Christmas kitty"""
0062012932.jpg,"drawing of Halloween monters around a pumpking with the carved title ""HALLOWEEN NIGHT"""
0062020552.jpg,"drawing of three kids at the entrance of a blue castle above the title ""STORY'S END"""
0062086707.jpg,"drawing of three kids riding horses in a forest with the caption ""I Can Read! 2 The Trail Ride"""
0062104950.jpg,"drawing of two girls and two swans in a forest with the title ""The SCHOOL of GOOD AND EVIL THE LAST EVER AFTER"""
0062110586.jpg,"drawing of a cat on a red skateboard and the title ""Pete the Cat"""
0062110667.jpg,"drawing of a cat playing baseball with the caption ""I Can Read! Pete the Cat PLAY BALL"""
0062117459.jpg,"drawing of four warriors with blades and the title ""THE HERO'S GUIDE TO Saving The Kingdom"""
0062219111.jpg,"drawing of a dog playing in the snow under the title ""CHARLIE the Ranch Dog Charlie's SNOW DAY"""
0062223461.jpg,"drawing of six yellow bears reading a book with the title ""The Berenstain Bears PHONICS FUN"""
0062224085.jpg,"drawing of a green monster on an air balloon with the title ""FORTUNATELY, THE MILK"""
0062266934.jpg,"drawing of a hen and a dog dancing with the caption ""TUG THE PUP"""
0062272160.jpg,"drawing of a boy running with the title ""EIGHTH DAY"""
0062274686.jpg,"drawing of three sleepy chickens below the title ""Bedtime for Chickens"""
0062288849.jpg,"drawing of a girl dressed as a fairy with the title ""FANCY NANCY Fabulous Fall Story Collection"""
0062294962.jpg,"drawing of a man and two zombies with the caption ""PLANTS vs. ZOMBIES SAVE YOUR BRAINS!"""
0062303856.jpg,"drawing of a cat riding a red and yellow train with the title ""Pete the Cat's TRAIN TRIP"""
0062330160.jpg,"drawing of a girl in pink swimsuit holding a mermaid doll below the caption ""Aqualicious"""
0062335367.jpg,"drawing of a penguin standing on ice and the title ""Little Penguin Gets the Hiccups"""
0062347772.jpg,"drawing of a dog wearing sunglasses over a pink blanket and the caption ""CHARLIE the Ranch dog ROCK STAR"""
0062360639.jpg,"drawing of a boy holding a box with a brown dog inside and the title ""THE HENRY AND RIBSY BOX SET"""
0062364278.jpg,"drawing of a boy and a dog by a river with fish and the caption ""BEYOND the POND"""
0062367153.jpg,"drawing of a cat's face and the title ""THE NEW PROPHECY WARRIORS"""
0062367161.jpg,"drawing of a cat's face and the title ""POWER OF THREE WARRIORS"""
006236717X.jpg,"drawing of a book with plants coming from the inside and the title ""WRITING MAGIC"""
0062367919.jpg,"drawing of a green living room with the moon through the window and the title ""GOODNIGHT MOON BUENAS NOCHES LUNA"""
0062387588.jpg,"picture of a soccer goalkeeper stopping a ball with the title ""THE KEEPER THE UNGUARDED STORY OF TIM HOWARD"""
0062420399.jpg,"picture of a police dog with the title ""MAX BEST FRIEND HERO MARINE"""
0062422790.jpg,"drawing of a bear with red hat and blue shirt and the title ""PADDINGTON"""
0062430610.jpg,"drawing of a cat surrounded by a pink heart and yellow flowers with the caption ""Pete the Cat's Groovy Guide to Love"""
0064400409.jpg,picture of a box set with coloured books and a cover of an old car
0064401324.jpg,"picture of a black and a white sled dogs with the title ""STONE FOX"""
0064404781.jpg,"drawing of a girl with a red dress in the field below the title ""Little House on Rocky Ridge"""
0064408884.jpg,"drawing of a black and white arm grabbing a foot with the title ""Skeleton man"""
0064409597.jpg,"drawing of a yellow dog with the title ""LOVE THAT DOG"""
0064430103.jpg,"drawing of a dog in the beach with an umbrella and the caption ""HARRY BY THE SEA"""
0064430871.jpg,"drawing of a rooster in a farm below the title ""Chanticleer AND THE FOX"""
0064432807.jpg,"drawing of an astrounaut in space with the title ""I Want To Be an Astronaut"""
0064432955.jpg,"drawing of a man riding a bicycle with the title ""BICYCLE RIDER"""
0064434435.jpg,"drawing of two dogs staring at each other and the title ""HARRY el perrito sucio"""
0064435776.jpg,"drawing of a grey dragon and a boy with a sword and the title ""THE IRISH CINDERLAD"""
0064436020.jpg,"drawing of two yellow ducks dressed and dancing over tomatoes with the title ""I LOVE YOU! A Bushel & A Peck"""
0064437930.jpg,"drawing of a man riding an elephant in a forest with the caption ""CIRCUS CAPS FOR SALE"""
0064438783.jpg,"drawing of a man and a elf around a bonfire below the title ""The leprechaun's Gold"""
0064440028.jpg,"drawing of a boy riding a yellow dinosaur and the title ""DANNY AND THE DINOSAUR"""
0064440214.jpg,"drawing of two frogs riding a bicycle with the title ""Frog and Toad Together"""
0064440419.jpg,"drawing of a mouse in a bowl and the title ""MOUSE SOUP"""
0064442705.jpg,"drawing of three kids and a seal in a city with the caption ""Sammy The seal"""
0064450260.jpg,"drawing of a girl eating corn in a field with the title ""CORN IS MAIZE The gift of the indians"""
006445083X.jpg,"drawing of a smiling boy with the title ""My five senses"""
0064450937.jpg,"drawing of three kids grabbing fossils below the title ""FOSSILS TELL OF LONG AGO"""
006445097X.jpg,"drawing of two boys with a cat and a dog below the captions ""SWITCH ON"" and ""SWITCH OFF"""
0064451569.jpg,"drawing of turtles by a river under the title ""Look Out For Turtles!"""
0064451887.jpg,"drawing of two deers crossing the road in a forest with the title ""EARTHQUAKES"""
0064462080.jpg,"picture of a girl with a red scarf and the title ""RED SCARF GIRL A MEMOIR OF THE CULTURAL REVOLUTION"""
0064472590.jpg,"drawing of a man's face and a baseball player with a boy below the caption ""SHOELESS JOE & ME"""
0071408223.jpg,"drawing of people, animals, a house, and colorful clothes with the title ""LET'S LEARN ENGLISH PICTURE DICTIONARY"""
0078688760.jpg,"drawing of a knight armor and a japanese feudal castle with the title ""Medieval and Early Modern Times"""
0131280732.jpg,"pictures of an astronaut, a house, and a lake with the title ""WORLD STUDIES MEDIEVAL TIMES TO TODAY Ideal for Notetaking"""
0131901974.jpg,"picture of colorful fish in a green background with the title ""Life Science"""
013319552X.jpg,"picture of a man walking under a red umbrella and his dog being illuminated with the title ""LITERATURE"""
0140385061.jpg,"drawing of food ingredients with the title ""Cookbook"""
0140501738.jpg,"drawing of a bear with green pants and the title ""CORDUROY"""
0140508198.jpg,"drawing of a pig in a green dress with the caption ""I LIKE ME!"""
0140544518.jpg,"drawing of a wolf with glasses in a paper with the title ""THE 3 LITTLE PIGS!"""
0140558640.jpg,"drawing of a girl and a little man with a sewing wheel and the title ""Rumpelstiltskin"""
0140565485.jpg,"drawing of children playing and holding hands with the title ""De Colores and Other Latin-American Folk songs for children"""
0140567356.jpg,"drawing of a frog, a turtle, and a beaver holding a pine tree with the title ""FROGGY'S BEST CHRISTMAS"""
0141352523.jpg,"drawing of three zombies and a plant with the title ""PLANTS VS. ZOMBIES SHUFFLE & STICK ACTIVITY BOOK"""
0142300187.jpg,"drawing of a girl ballet dancer sitting with the title ""TALLCHIEF America's Prima ballerina"""
0142300683.jpg,"drawing of a duck, a frog, and a pig with costumes and the title ""FROGGY'S HALLOWEEN"""
0142401099.jpg,"drawing of a yellow star with the title ""The Devil's Arithmetic"""
0142401137.jpg,"picture of a colorful paper crane with the title ""SADAKO and the thousand paper cranes"""
0142401870.jpg,"drawing of a girl cooking and the caption ""Adelita"""
0142403709.jpg,"drawing of a white hat and gloves with the title ""Al Capone Does My Shirts Alcatraz"""
0142403997.jpg,"drawing of a girl in a tower and a boy and his horse below with the caption ""Falling for Rapunzel"""
0142404667.jpg,"drawing of a green turtle and a red beaver swimming with the caption ""Turtle's race with beaver"""
014240621X.jpg,"drawing of three mice dressed for Halloween under the title ""Angelina's Halloween"""
0142408212.jpg,"drawing of a man with red clothes and wooden wings with the title ""GIANTS SCIENCE LEONARDO DA VINCI"""
0142408255.jpg,"drawing of a boy and a dog in a garden with the title ""If I built a car"""
0142411531.jpg,"picture of a boy with a basketball and the title ""MIKE LUPICA SUMMER BALL"""
0142414417.jpg,"picture of a boy grabbing a basketball and the title ""MIKE LUPICA HOT HAND"""
014241557X.jpg,"picture of a girl's face and the caption ""wintergirls"""
0142418447.jpg,"picture of a boy kicking a soccer ball with the title ""MIKE LUPICA SHOOT-OUT"""
